ROOT,Level 1,Level 2,Level 3,Level 4,Level 5
AgencyHabits,,,,,
,Home,,,,
,,Hero + brand visual,,,
,,Newsletter CTA,,,
,,Featured articles,,,
,,Podcast section,,,
,,The List promo,,,
,,Book recommendations,,,
,,Biz Dev Collection,,,
,,Foundation + KB + Events,,,
,,Footer newsletter CTA,,,
,Articles,,,,
,,Featured article,,,
,,Filter + search,,,
,,Article grid,,,
,,Pagination,,,
,,Newsletter CTA,,,
,,,Article Template,,
,,,,Title,
,,,,Hero image,
,,,,Author + date,
,,,,Read time bar,
,,,,Content body,
,,,,What's next,
,Books,,,,
,,Filter by topic,,,
,,Book grid,,,
,,Author + CTA,,,
,,Newsletter CTA,,,
,Tools & Downloads,,,,
,,Tool cards,,,
,,Newsletter CTA,,,
,,,Business Dev Collection,,
,,,,Hero + description,
,,,,Highlights,
,,,,Download form,
,,,,FAQ,
,,,,Newsletter CTA,
,,,Exit-Readiness Checklist,,
,,,,Hero + description,
,,,,Download form,
,,,,Newsletter CTA,
,,,Annual Goal Setting Template,,
,,,,Hero + description,
,,,,Download form,
,,,,Newsletter CTA,
,About Us,,,,
,,Founder letter,,,
,,Origin story,,,
,,Team profiles,,,
,,Stats,,,
,,Testimonials,,,
,,Newsletter CTA,,,
,Podcast,,,,
,,Featured player,,,
,,Host intro,,,
,,Latest episodes,,,
,,Most listened,,,
,,Subscribe CTA,,,
,Contact Us,,,,
,,Form + social proof,,,
,,FAQ categories,,,
,The List,,,,
,,Intro + context,,,
,,10 habits list,,,
,,Photos + animations,,,
,,Newsletter CTA,,,
,Newsletter,,,,
,,Hero + value prop,,,
,,Sample issue,,,
,,Archive,,,
,,kit.com form,,,
,Foundation App,,,,
,,Hero + CTA,,,
,,Problem / solution,,,
,,Output preview,,,
,,How it works,,,
,,Stats + testimonials,,,
,,CTA → external app,,,
,Knowledge Base,,,,
,,Hero + description,,,
,,How it works,,,
,,CTA → external tool,,,
,Events,,,,
,,Hero + intro,,,
,,Upcoming events,,,
,,Archive,,,
,,kit.com registration form,,,
